"Post Required","Field Name","Friendly Name",Value
No,leadid,"Lead ID",string
No,leadreferenceid,"Reference ID",string
No,optInLanguage,"Opt-In Language",string
No,consentCertificate,"Consent Certificate",string
No,firstname,"First Name",string
No,lastname,"Last Name",string
No,leadfullname,Name,string
No,email,Email,string
No,phone,"Mobile Phone",phone
No,workPhone,"Work Phone",phone
No,mobilePhone,"Home Phone",phone
No,address2,"Mailing Address",string
No,city,"Mailing City",string
No,state,"Mailing State",string
No,zip,"Mailing Zip",string
No,leadfulladdress,"Lead Full Address",string
No,accountPriority,"Account Priority",string
Yes,leadsource,Source,integer
No,mktleadsubsource,"Sub Source",integer
No,timeframe,Timeframe,string
No,leadtags,Tags,string
No,notes,Notes,longtext
No,createdDate,"Created Date",datetime
No,lastActivityDate,"Last Activity Date",datetime
No,recent_notes,"Recent Note",string
No,notes_sidebar,"Notes Sidebar",string
No,notes_sidebar_ai_note,"Notes Sidebar AI Note",string
No,recordtype,"Record Type",integer
No,list_timezone,Timezone,string
No,mktclientid,"Google Analytic Client ID",string
No,mktmedium,"Google Analytic Medium",string
No,mktsource,"Google Analytics Source",string
No,mktcampaign,"Google Analytics Campaign",string
No,mktkeyword,"Google Analytics Keyword",string
No,mktdevice,"Google Analytics Device",string
No,mktbrowser,"Google Analytics Browser",string
No,mktcountry,"Google Analytics Country",string
No,mktregion,"Google Analytics Region",string
No,mktcity,"Google Analytics City",string
No,mktother,"Google Analytics Other",string
No,mktadcreativecontent,"Ad Creative Content",string
No,mktadsetcampaignterm,"Ad Set Campaign Term",string
No,mktcampaignname,"Facebook Campaign Name",string
No,mktdestinationurl,"Destination URL",string
No,mktcontentcategory,"Content Category",string
No,mktcontentname,"Content Name",string
No,mktsearchstring,"Search String",string
No,mktpredictedltv,"Predicted LTV",string
No,mktfbstatus,"Facebook Status",string
No,mktnumberofitems,"Number of Items",string
No,mktcurrency,"Facebook Currency",string
No,mktfbvalue,"Facebook Value",string
No,mktchannel,Channel,string
No,mktreferringwebsite,"Referring Website",string
No,mktprospecttype,"Prospect Type",string
No,mktaltid1,"Alternate ID - 1",string
No,mktaltid2,"Alternate ID - 2",string
No,mktaltid3,"Alternate ID - 3",string
No,mktaltid4,"Alternate ID - 4",string
No,mktentryid,"Customer Entry ID",string
No,mktentrydate,"Customer Entry Date",datetime
No,mktuserip,"Customer User IP",string
No,mktsourceurl,"Customer Source URL",string
No,mktformtitle,"Customer Form Title",string
No,mktreferencecode,"Customer Reference Code",string
No,mktoptinmethod,"Customer Opt-In Method",string
No,mktoptintime,"Opt-In Time",datetime
No,mktexperimentslot1,"Experiment Slot 1",string
No,mktexperimentslot2,"Experiment Slot 2",string
No,mktexperimentslot3,"Experiment Slot 3",string
No,mktexperimentslot4,"Experiment Slot 4",string
No,mktexperimentslot5,"Experiment Slot 5",string
No,mktexperimentslot6,"Experiment Slot 6",string
No,mktexperimentslot7,"Experiment Slot 7",string
No,mktexperimentslot8,"Experiment Slot 8",string
No,refconcompanyname,"Referral Partner Company Name",string
No,lastemaildate,"Last Email Date",datetime
No,totalCallAttempt,"Total Call Attempts",integer
No,lasttextdate,"Last Text Date",datetime
No,lastcallattempt,"Last Call Attempt",datetime
No,mktattributionData,"Attribution Data",string
No,utm_source,"Marketing UTM Source",string
No,utm_medium,"Marketing UTM Medium",string
No,utm_term,"Marketing UTM Term",string
No,utm_content,"Marketing UTM Content",string
No,utm_campaign,"Marketing UTM Campaign",string
No,first_utm_source,"Marketing First UTM Source",string
No,first_utm_medium,"Marketing First UTM Medium",string
No,first_utm_term,"Marketing First UTM Term",string
No,first_utm_content,"Marketing First UTM Content",string
No,first_utm_campaign,"Marketing First UTM Campaign",string
No,fbclid,"Marketing FBCLID",string
No,msclkid,"Marketing MSCLKID",string
No,post_gclid,"Marketing GCLID",string
No,post_original_ref,"Marketing Original Referring Domain",string
No,post_landing_page,"Marketing Landing Page URL",string
No,post_landing_page_base,"Marketing Landing Page Base URL",string
No,post_ip,"Marketing IP",string
No,post_ref,"Marketing Referrer",string
No,post_url,"Marketing URL",string
No,post_ref_domain,"Marketing Referring Domain",string
No,post_url_base,"Marketing Base URL",string
No,gaclientid,"Marketing Google Analytics Client ID",string
No,organic_source,"Marketing Organic Source URL",string
No,organic_source_str,"Marketing Organic Source",string
No,user_agent,"Marketing User Agent",string
No,traffic_source,"Marketing Traffic Source",string
No,first_traffic_source,"Marketing First Traffic Source",string
No,post_ref_id,"Marketing Tracking ID",string
No,original_utm_source,"Original UTM Source",string
No,original_utm_medium,"Original UTM Medium",string
No,original_utm_term,"Original UTM Term",string
No,original_utm_content,"Original UTM Content",string
No,original_utm_campaign,"Original UTM Campaign",string
No,original_landing_page_url,"Original Landing Page URL",string
No,original_landing_page_base_url,"Original Landing Page Base URL",string
No,original_referrer,"Original Referrer",string
No,original_url,"Original URL",string
No,original_base_url,"Original Base URL",string
No,original_referring_domain,"Original Referring Domain",string
No,original_organic_source_url,"Original Organic Source URL",string
No,original_organic_source,"Original Organic Source",string
No,original_traffic_source,"Original Traffic Source",string
No,original_tracking_id,"Original Tracking Id",string
No,creditscore,"Credit Score",string
No,refnotes,"Referral Notes",longtext
No,refcity,"Partner Physical City",string
No,refstate,"Partner Physical State",string
No,prStreetAddress,"Subject Property Address",string
No,prCity,"Property City",string
No,prState,"Property State",string
No,prZipCode,"Property Zip",string
No,prCounty,"Property County",string
No,prCountry,"Property Country",string
No,prAddressLine2,"Property Unit or Apartment #",string
No,purchasearea,"Purchase Area",string
No,nameofbusiness,"Business Name",string
No,officePhone,"Business Office Phone",phone
No,principalOwner,"Business Principal Owner?",string
No,businessStartDate,"Business Start Date",date
No,businessAddress,"Business Address",string
No,bussinessCity,"Business City",string
No,bussinessState,"Business State",string
No,bussinessZip,"Business Zip",string
